species_id;sex;hindfoot_length;weight
OL;M;20;36
OT;M;20;29
RM;M;18;14
PF;M;16;7
DM;F;34;42
RM;F;15;8
DM;M;36;42
RM;M;18;11
DM;M;37;44
DS;F;50;118
PF;M;17;6
RM;M;15;8
DM;F;36;47
DM;M;34;44
DM;F;36;49
DO;M;35;48
DM;M;37;52
RM;F;16;8
DM;M;37;46
DS;F;48;122
RM;M;15;8
DM;F;35;45
DS;F;51;118
DM;M;37;48
RM;M;16;10
DO;F;34;53
DS;M;50;128
DM;M;37;46
OT;F;21;26
DM;M;36;45
DM;M;37;48
DM;F;35;46
DO;M;35;53
OL;F;22;43
PF;M;16;6
PF;M;16;6
PF;M;15;6
DM;M;37;43
DM;M;34;42
DO;F;33;47
OL;F;20;48
OT;M;19;27
DM;F;35;36
DO;M;37;53
DO;M;33;54
DM;F;36;44
DO;M;35;53
DO;F;34;52
DS;M;50;91
DO;M;34;47
DO;F;37;49
PF;M;14;7
PF;F;15;7
RM;F;15;11
RM;M;17;12
OL;M;19;27
PF;M;16;9
DS;F;48;107
DS;M;49;115
DM;M;35;43
DM;F;37;38
OL;M;21;34
PE;M;21;26
DO;M;34;57
DS;F;49;129
PF;M;16;7
DM;M;36;45
RM;M;16;11
DO;F;36;52
RM;M;17;11
DM;M;36;50
DS;F;50;138
PF;M;15;5
DO;F;35;45
OL;M;22;43
PF;F;16;6
PF;M;16;7
DM;F;36;39
PF;F;15;5
PF;M;16;6
DS;M;52;144
DM;F;35;44
DM;F;36;43
PF;F;15;5
DO;F;37;58
DS;F;51;153
OL;F;20;27
PE;M;19;24
DM;F;35;42
DO;M;36;52
OL;M;21;36
DM;M;37;47
DM;M;34;44
DM;M;36;43
RM;M;17;11
PF;M;15;6
DS;M;51;146
DM;M;38;46
PF;M;14;6
DM;M;35;43
DM;M;36;46
DM;F;34;38
DM;F;35;48
DM;M;36;49
DS;F;50;113
DM;F;35;34
OL;M;21;33
DM;F;35;41
OT;F;21;26
DM;M;37;45
RM;F;16;9
DM;M;38;52
DM;M;35;48
PE;M;20;26
RM;M;19;11
DO;M;37;56
DS;F;52;117
PF;M;16;8
PF;M;16;8
DM;M;38;52
PP;M;21;16
DO;M;36;57
NL;M;32;94
DS;M;53;130
RM;F;17;12
OL;M;20;32
NL;F;28;44
PF;M;17;7
DM;F;38;44
DO;M;37;49
RM;M;18;12
DO;M;35;52
DS;M;51;143
DS;F;49;116
RM;M;17;7
DS;M;52;123
RM;M;17;11
PF;M;17;6
DO;M;36;52
PF;M;16;7
DM;M;38;43
DM;M;37;48
DS;M;50;130
DS;F;52;74
DS;M;49;120
DM;F;38;47
RM;F;17;10
DM;F;37;42
DM;M;34;53
DM;F;36;44
DS;F;51;116
PM;M;21;25
DM;M;36;39
DM;F;37;43
DM;F;36;52
DM;F;37;43
DS;M;51;96
DM;M;37;44
DS;M;50;128
DM;F;36;37
RM;F;17;12
PE;M;21;26
OL;F;21;31
NL;F;32;125
RM;F;16;13
RM;M;17;9
DM;M;35;42
RM;M;17;9
DM;M;37;46
DM;F;37;41
DS;M;49;73
PF;F;17;8
DM;M;35;45
DM;M;38;45
PF;M;17;7
OL;M;22;37
DM;M;37;45
DM;M;37;46
PF;M;16;6
PE;M;21;24
PF;M;17;7
PF;F;16;6
DM;F;37;45
DS;M;48;125
DS;F;50;103
PE;F;19;18
DM;M;38;42
DO;M;34;56
DM;M;36;45
PE;M;20;22
DO;M;35;35
PF;F;15;5
DS;F;51;102
DS;M;52;101
DS;F;47;77
RM;F;17;14
DM;F;37;39
PF;F;16;8
PF;M;16;8
PF;M;16;7
DM;M;38;51
DS;F;49;86
PE;M;20;24
DS;M;50;91
DM;F;37;42
DO;M;36;55
DS;F;48;76
DO;M;36;54
DM;M;37;41
PF;M;16;8
DM;M;37;50
DS;F;49;128
RM;M;17;11
DS;M;47;78
DS;F;50;108
PE;F;21;19
DM;M;37;49
DM;F;35;40
PF;M;17;7
DM;M;37;46
PF;F;16;7
PF;M;16;7
DS;F;51;133
PF;M;16;7
DO;F;36;61
PF;M;17;7
DS;F;52;123
DS;M;50;125
DM;F;37;55
PF;M;17;8
PM;M;21;25
DO;M;34;34
RM;F;19;10
PP;F;21;12
DS;F;48;109
PM;M;21;26
DM;M;36;43
DM;M;35;50
PF;M;15;6
DS;F;48;67
PF;M;17;9
DS;M;47;71
DM;M;38;55
PF;M;16;6
DS;F;49;140
DS;M;47;94
RM;F;17;11
DM;M;37;41
PF;F;17;6
RM;M;17;11
DS;M;53;150
OL;M;21;33
DO;M;36;51
DS;F;51;139
DM;F;36;37
PF;M;16;7
DS;F;53;143
PE;M;20;22
DM;M;36;49
PM;M;20;19
PF;F;16;6
DS;F;51;127
RM;M;17;11
DM;M;37;47
DS;F;49;101
DM;F;37;42
DO;F;38;66
DM;F;36;46
DM;F;36;47
PP;F;22;17
DS;M;49;119
PF;F;17;6
RM;M;18;11
PE;M;21;24
RM;F;15;13
DM;M;38;40
PE;M;21;16
DS;F;52;140
PE;M;20;21
DS;F;52;126
RM;M;18;8
PP;M;23;15
DS;M;49;123
DM;M;36;46
DM;F;37;45
OT;M;20;16
DS;M;48;128
DS;M;48;91
PF;M;16;7
PF;M;15;6
DO;M;34;56
DM;M;39;49
DS;M;51;125
DM;F;38;46
RM;F;15;14
PF;M;16;7
OT;F;19;16
DO;F;37;73
PE;F;21;30
DM;M;37;49
DS;M;50;127
PE;M;19;11
DS;F;50;113
DS;F;50;118
PM;F;20;35
DM;F;34;26
DM;M;35;41
PM;M;19;11
OT;M;20;29
DM;M;36;49
OT;F;19;16
DM;F;36;46
RM;F;20;9
DS;F;51;137
DM;F;36;35
RM;F;17;14
DS;M;47;86
NL;F;31;151
DM;F;37;46
NL;F;32;142
PE;M;19;24
DM;M;37;45
PE;M;21;24
RM;M;16;8
DO;M;37;36
NL;F;32;100
PE;M;20;19
DS;M;50;124
DS;M;51;133
DM;F;37;47
RM;F;17;15
DM;F;35;37
PF;M;16;8
PM;M;20;24
DM;F;35;22
PE;F;21;31
RM;F;16;14
PP;M;22;16
DM;F;37;54
OT;F;22;27
DS;M;51;126
DS;M;51;133
DM;F;37;46
DO;F;36;52
PE;F;20;24
DM;M;38;49
PF;F;17;7
PF;F;16;10
DM;M;38;49
PF;M;16;7
PE;M;20;24
DS;M;50;96
DM;F;36;40
OT;M;21;28
DS;M;52;135
DS;M;50;95
DM;F;35;48
PF;M;16;8
DS;F;49;125
DS;M;54;139
DM;F;38;46
PP;F;22;19
OT;M;21;17
DM;M;36;48
NL;F;33;110
DM;M;37;45
PE;M;19;14
DS;F;50;130
PF;M;16;8
PF;M;16;7
NL;F;31;116
DS;F;50;120
DS;F;49;125
DS;M;52;114
PF;M;16;9
RM;M;17;8
PF;F;15;8
PP;F;21;19
DO;M;36;45
OT;M;20;19
DS;M;48;104
DS;F;51;118
DM;M;36;46
DM;F;35;47
DM;M;36;44
DM;M;37;49
RM;M;17;11
DS;M;52;152
DM;M;34;51
DM;M;37;46
RM;F;17;13
DM;F;35;36
RM;M;17;10
RM;F;17;13
OT;F;19;14
DS;F;49;118
DM;M;33;26
PF;M;16;7
DM;M;37;52
DM;M;37;46
DM;F;33;38
DO;M;35;53
DO;F;34;42
PP;F;22;20
DS;F;50;111
DS;M;50;131
DS;M;48;117
PM;M;21;20
DO;F;35;42
PM;F;19;21
DS;M;49;122
DM;M;33;43
DO;F;35;41
DO;F;35;31
NL;M;30;30
DM;M;32;20
DS;M;50;118
DO;M;35;43
DO;F;31;19
RM;M;15;11
NL;F;30;88
DS;M;49;126
DM;F;36;44
PE;M;20;13
NL;F;32;162
PE;F;18;14
DM;M;36;47
DO;F;33;39
DS;M;50;135
PM;M;20;26
DM;M;36;43
PF;M;15;7
NL;F;32;150
OT;F;20;22
DM;F;36;48
OT;F;20;15
DO;F;33;15
DM;M;36;47
OT;M;21;30
DM;M;34;45
DO;F;33;46
DS;F;47;64
PF;M;16;7
DM;F;35;40
DM;F;31;16
DM;F;34;49
DS;M;52;134
RM;F;16;15
OT;M;21;23
PF;F;16;7
DM;M;36;47
DS;M;52;132
DM;F;35;46
NL;M;32;180
OT;M;19;21
PP;M;21;17
DM;M;36;44
OL;F;20;37
DS;M;50;127
DS;M;53;136
NL;F;32;150
DM;F;33;29
DS;F;48;128
DS;F;49;133
DM;M;35;43
PF;M;15;7
DM;M;37;51
DM;M;38;48
DO;F;36;46
DO;M;34;33
OT;F;18;19
PF;M;16;6
DO;F;36;47
OT;F;20;30
DS;F;50;98
PP;F;21;18
DS;M;51;122
NL;F;30;126
DM;M;38;49
PF;M;16;7
PF;F;16;7
PF;F;16;8
DO;M;37;49
DS;F;49;114
DM;F;34;44
DS;F;51;121
OL;F;20;45
NL;F;29;117
PF;M;16;9
DS;F;51;119
DS;F;48;125
PF;M;17;9
DS;M;51;150
DM;M;36;46
DM;F;35;54
DS;F;49;91
DS;F;52;140
OL;M;20;30
DO;M;34;48
DS;F;52;128
DO;M;36;46
DM;F;34;35
OL;F;20;41
DS;M;48;94
DM;M;35;48
DM;M;37;50
DM;F;35;28
PP;F;23;19
DM;M;35;47
OT;F;21;23
PF;M;16;8
DM;F;35;32
NL;F;33;172
NL;F;31;118
DS;M;52;130
DM;F;34;30
DO;F;32;42
PM;M;20;27
DM;F;34;37
DO;M;34;47
DS;M;48;135
DM;M;36;40
DS;M;49;114
DM;M;32;47
RM;F;16;11
NL;M;32;98
DM;F;36;52
DM;M;35;42
DM;F;36;41
PF;F;16;7
NL;F;32;118
PM;M;21;24
DO;F;36;47
OT;F;19;28
DM;F;32;27
PM;F;20;18
DM;F;37;46
OT;M;20;30
DS;M;51;123
RM;M;18;11
DO;F;35;50
PM;M;21;19
PF;F;14;5
DO;F;34;32
DO;F;35;45
DS;M;50;131
DM;F;35;41
DM;M;32;36
DM;F;35;51
PP;F;22;13
DS;F;47;76
OT;M;21;24
PF;M;16;9
DS;F;51;108
NL;F;31;110
DS;M;51;137
DM;F;34;25
DM;M;38;49
NL;M;34;168
OT;M;20;29
NL;M;34;216
DM;F;35;31
DM;M;37;44
OL;F;20;49
DM;M;36;46
RM;M;19;10
DO;M;34;38
DM;F;37;52
DM;F;36;42
OT;M;20;13
DO;M;36;46
DS;M;53;122
DM;F;34;34
DM;M;35;38
DM;F;34;43
OT;F;22;29
PF;F;16;7
NL;F;31;135
OL;M;21;31
DS;F;50;117
PP;M;22;13
DM;M;37;47
PF;M;15;8
PP;F;22;13
DM;F;36;47
DO;M;34;53
OL;F;21;27
PP;F;22;18
NL;M;33;132
DM;F;34;37
DS;F;48;122
NL;F;31;134
OL;F;20;32
DO;M;37;48
DM;F;35;53
OT;F;19;27
DM;M;35;48
RM;M;17;11
DM;M;36;48
DS;F;49;122
DS;M;49;99
DM;M;35;46
PM;M;19;24
DM;F;35;34
DS;M;49;132
DS;F;48;125
PP;M;21;15
NL;F;33;148
PP;F;22;19
NL;F;32;128
DM;F;37;33
DO;M;34;50
NL;F;30;124
DS;M;50;133
DM;F;35;37
DS;M;47;123
DM;M;35;44
OT;M;20;25
DS;M;48;121
DM;F;36;37
NL;F;32;157
DS;M;51;125
OT;F;21;24
DM;F;32;44
DM;F;36;48
DM;M;35;38
DM;M;37;37
DO;F;35;41
DM;F;36;40
DO;M;34;46
DM;F;33;33
DO;F;36;50
PM;F;19;22
DM;F;35;34
DM;M;36;47
DM;F;35;49
DO;F;35;38
NL;M;32;113
DM;M;35;32
DM;F;36;34
PP;F;21;15
DM;F;35;30
PE;M;20;15
DM;F;35;40
DM;F;35;30
DM;M;37;45
PP;F;20;14
DM;M;37;49
OT;F;21;21
OT;F;21;45
NL;F;32;171
DM;F;35;37
DO;F;35;48
DS;M;50;146
OT;M;21;24
DS;M;48;133
NL;M;34;187
PP;F;22;14
OL;M;22;37
DO;M;34;42
DM;F;36;38
PF;M;16;7
DO;M;35;48
OL;M;20;31
PF;F;16;8
DS;M;52;152
PF;F;16;7
RM;F;16;14
DM;F;36;34
DS;M;49;120
PF;F;16;7
OT;F;21;26
DS;M;51;131
NL;F;33;120
DM;M;37;38
DM;M;36;38
OT;F;20;22
DM;M;34;44
DM;M;37;40
DM;F;34;38
PF;M;16;8
DS;M;50;130
DM;F;36;34
DS;M;52;129
OT;F;21;25
DM;M;34;31
PM;M;21;20
DM;M;34;26
NL;M;33;185
DM;F;35;35
DS;F;50;124
DS;F;51;127
PP;F;22;12
DM;M;36;46
PF;F;15;8
PP;F;22;18
OT;M;21;26
PF;M;16;10
DS;M;52;150
PP;F;22;11
DM;F;35;28
DM;F;33;21
PP;M;22;18
NL;F;32;147
DM;F;33;29
NL;F;30;145
DM;M;34;30
DS;F;51;127
DM;F;34;36
DM;M;35;45
DS;M;51;129
NL;F;32;141
DS;F;48;128
DM;F;34;25
DM;M;37;41
PM;M;20;24
NL;F;32;158
DO;M;34;49
NL;F;32;148
DS;F;51;122
DO;F;36;45
PP;F;21;14
DM;F;36;43
NL;F;32;152
DM;M;37;42
NL;F;32;146
NL;F;31;139
DM;F;35;37
DS;M;48;138
NL;F;33;156
DO;F;36;50
DS;M;48;128
NL;M;36;248
PF;M;15;7
DM;F;36;37
DO;F;35;51
DM;F;37;45
DM;M;37;48
PE;M;21;20
DO;F;35;43
DS;M;49;126
DS;F;48;102
DM;F;35;36
DM;F;36;48
RM;F;16;13
DS;M;52;130
PE;F;21;19
DM;M;36;36
DM;F;35;36
NL;F;34;168
DM;F;36;38
DM;F;37;43
DM;F;35;33
DM;F;37;44
NL;F;32;180
NL;F;32;71
DO;F;34;37
NL;M;34;151
PM;M;21;21
DM;F;37;40
DM;M;37;51
OT;F;20;25
DS;M;51;146
DO;F;35;48
DM;F;35;42
DM;F;34;40
OT;M;20;18
NL;F;33;177
PF;F;16;7
DM;M;34;38
OL;F;20;26
DO;M;36;50
OL;M;20;32
DS;M;49;132
DS;M;52;130
DS;M;49;118
DS;M;53;145
RM;M;17;9
DM;F;37;40
PP;F;22;13
PP;F;22;13
DO;M;36;43
PF;F;16;7
DO;M;34;42
DS;F;53;149
DM;M;37;51
NL;F;32;196
DS;F;48;132
DM;F;35;42
DS;M;52;126
DM;F;34;37
DO;F;35;49
NL;F;31;146
DM;M;34;48
DM;M;37;43
DM;F;36;38
RM;F;17;13
DS;F;48;79
DM;M;36;44
DS;F;49;137
OT;F;18;24
DS;M;50;128
DO;F;36;43
DM;F;35;38
NL;F;32;139
RM;F;16;13
NL;M;34;205
DM;F;35;32
OL;F;21;34
DS;F;51;124
PF;M;16;7
PF;M;16;7
DS;M;54;144
NL;F;32;138
DS;F;48;94
DS;F;51;122
OT;M;20;24
DM;F;34;37
DO;M;36;50
PM;M;21;20
NL;F;32;161
DM;F;36;36
DM;F;36;30
PF;M;15;8
DM;M;36;37
PP;F;22;14
DO;F;36;39
DM;F;36;39
PP;F;22;17
PP;F;22;18
DO;F;35;55
NL;M;33;148
DM;M;36;48
OL;F;21;28
NL;M;34;175
DS;F;50;122
DS;M;51;146
DM;M;36;43
DS;M;50;112
DM;F;35;41
DS;F;52;125
DM;F;34;39
DS;M;48;130
PM;M;21;22
DS;F;48;122
OL;F;19;33
PF;M;16;6
NL;F;33;164
PF;M;16;7
NL;M;34;256
RM;F;14;6
DS;M;48;135
DM;F;36;41
DO;F;36;33
DM;M;36;40
DM;M;35;42
DS;M;50;119
DS;F;51;126
DM;F;36;39
DO;M;34;44
DS;F;48;105
OL;M;21;38
DM;F;36;43
RM;M;17;8
DO;M;33;51
DM;F;35;36
DS;M;51;125
OT;F;20;26
OT;F;20;25
OT;F;21;29
PM;M;18;23
DM;M;36;38
DM;F;36;38
DM;F;36;39
NL;M;34;233
DM;F;37;38
DM;F;36;40
OT;F;19;23
DM;F;36;42
DM;F;36;43
PF;F;16;7
DO;F;35;46
DO;M;37;53
PE;F;20;17
PE;M;20;20
DS;M;51;150
DM;M;37;46
NL;F;31;131
DM;F;34;45
DM;M;36;43
OT;M;19;25
DS;F;53;144
NL;M;34;226
DO;M;35;34
DM;F;34;37
DM;M;34;37
NL;M;33;184
DS;F;47;91
DS;F;51;105
NL;M;32;207
DM;F;35;35
OT;F;22;28
OT;F;19;26
DS;M;53;136
DO;F;36;54
DO;M;36;46
DM;M;34;37
DS;M;52;127
DM;M;34;38
NL;F;31;165
DS;M;48;112
DS;M;52;151
OT;M;20;27
DM;F;37;36
NL;F;32;188
DO;F;34;40
DM;F;33;37
DO;M;36;47
OT;M;20;24
DM;M;37;47
DM;F;34;37
DM;F;36;38
DS;F;48;134
DS;M;51;126
DM;F;35;38
DS;F;50;131
NL;F;32;151
DS;F;48;137
NL;F;32;158
DM;F;34;37
DM;F;36;42
RM;M;15;9
DM;M;36;40
DO;M;35;53
DM;M;35;43
DM;F;36;40
DS;F;51;125
DM;F;33;34
PM;M;21;25
OT;M;20;26
DS;F;48;118
DO;F;34;34
DO;M;36;38
DM;F;34;42
DM;M;36;35
DS;F;51;119
DO;M;35;44
DM;F;35;36
DM;M;34;36
DM;F;35;36
DS;M;52;134
DS;F;50;91
DS;M;54;142
NL;F;31;175
PP;F;22;12
OL;M;19;33
DM;M;36;44
DM;F;36;39
DM;F;34;31
DS;M;52;151
DO;M;35;50
DS;M;46;122
DM;F;35;44
DM;F;34;37
NL;F;31;161
DM;F;36;33
DM;M;36;40
OT;M;21;25
OT;F;18;27
PF;M;16;6
DS;F;51;123
NL;F;32;169
DS;M;50;118
DM;F;36;38
NL;F;32;195
DM;F;36;37
OT;F;21;28
DS;M;52;132
DS;F;50;126
DM;F;36;38
OT;M;20;24
DS;M;50;105
DM;F;34;33
DM;F;36;37
RM;F;15;9
OT;F;20;23
PM;F;19;23
DO;F;37;47
OL;M;22;37
DO;F;35;42
OT;F;20;23
RM;M;16;9
DO;M;35;49
OT;M;20;28
DS;F;48;103
PM;M;21;21
RM;M;15;8
DO;M;34;42
DO;M;36;50
DM;F;36;42
OL;F;21;31
DS;F;50;116
DO;F;34;47
RM;M;17;10
DM;F;36;36
DM;M;37;38
OT;F;21;29
DM;M;35;40
DM;M;35;40
DO;M;36;48
DS;M;52;129
DM;F;35;34
OL;M;21;33
DO;M;36;46
DM;F;36;38
DM;F;36;37
OT;F;20;28
DS;M;49;128
DO;F;35;38
DM;F;37;38
RM;F;16;11
DM;F;36;37
PF;M;16;6
DO;F;34;44
DS;M;49;123
DM;M;36;43
OT;F;21;24
DM;F;34;31
DM;M;37;43
DM;M;36;39
DM;F;36;42
NL;M;34;199
DS;F;52;123
DS;M;51;125
NL;F;32;178
PF;F;16;6
DS;F;52;132
RM;M;16;9
DM;M;37;52
DS;M;54;138
DM;M;35;37
DS;F;47;98
OT;F;21;23
DO;F;36;37
DM;M;34;37
NL;M;33;218
OL;M;20;39
DS;F;47;100
DM;M;36;38
DM;M;35;39
DS;F;49;121
PM;M;21;21
PM;M;21;21
PP;F;22;13
DO;M;36;49
DS;F;49;115
PM;F;20;17
DO;F;34;46
OT;M;19;24
DM;F;35;33
NL;M;32;171
DM;F;35;34
DS;M;52;124
OL;F;21;36
DM;F;35;37
NL;F;32;158
DM;M;36;42
DS;M;52;126
DM;F;36;37
DM;F;35;34
DO;M;36;47
DS;F;51;120
RM;M;15;7
RM;M;15;9
DM;F;36;38
DM;F;35;33
NL;F;32;148
DM;M;35;37
OT;F;19;25
DM;F;36;34
DM;M;34;36
DS;M;52;115
NL;F;32;164
DO;M;35;36
PM;M;22;21
DM;M;36;43
OL;F;21;31
DM;F;34;30
DS;F;49;117
DS;M;48;129
DO;M;35;48
DM;F;36;30
DM;F;36;37
OT;F;19;29
DS;M;51;130
PM;M;20;22
DS;F;52;127
DO;M;37;51
RM;F;17;8
PE;M;21;17
OT;F;19;23
DM;F;37;37
PE;F;19;17
NL;F;33;170
OL;M;21;46
DO;F;34;39
OL;M;22;34
OL;F;21;34
DS;F;50;119
RM;F;15;7
DM;M;34;44
DS;M;50;130
DM;F;36;37
DM;F;36;33
OT;M;21;24
OL;F;22;32
RM;M;15;7
DM;F;35;37
DO;M;35;47
OT;M;20;28
DM;F;36;38
DS;M;52;124
DM;M;36;38
DO;M;37;53
PM;F;21;15
DM;F;35;36
DS;F;47;108
DS;F;52;121
DM;F;36;32
DM;M;37;38
DS;M;49;130
DM;F;37;44
DM;F;35;36
DO;M;36;48
DS;F;51;129
DM;F;36;34
NL;F;31;176
OT;M;21;25
PF;F;16;7
DM;M;36;45
RM;M;17;4
DM;F;37;38
RM;M;16;9
NL;F;32;144
DM;M;37;36
RM;M;16;11
NL;F;32;172
DM;F;37;40
DS;M;49;133
DM;F;36;45
PM;M;21;22
DS;M;51;145
DO;F;36;48
DM;F;34;34
DS;M;50;129
DS;F;48;96
DM;M;35;37
OL;M;22;36
NL;F;32;150
OT;M;20;20
DM;M;36;40
DS;F;51;110
DS;F;51;114
DO;F;34;39
DS;F;49;94
DS;M;50;121
DM;M;37;41
OL;F;20;30
DM;F;36;37
DO;F;36;47
DO;F;35;49
NL;M;32;162
DS;M;52;123
DM;M;35;37
DO;M;34;53
DM;F;37;46
DM;F;34;33
DM;F;36;36
OT;F;21;24
DO;M;36;50
DM;F;36;40
NL;F;33;148
OL;M;22;34
PM;M;21;22
DM;F;33;33
NL;F;34;178
DM;F;34;34
OT;M;19;22
DM;M;35;40
DS;F;52;101
RM;M;17;10
DS;F;52;119
OT;F;21;27
DM;F;37;31
DS;M;50;115
DS;M;52;132
DO;M;36;43
DS;F;48;112
PE;F;20;21
DM;F;36;37
DM;F;35;37
DS;M;54;135
DM;F;36;37
DO;M;35;43
DM;M;36;36
RM;F;16;11
DM;M;37;45
OT;F;21;28
DM;M;36;45
DM;M;35;39
DM;F;35;32
RM;F;14;7
DS;F;53;122
OT;M;21;25
DO;F;35;44
RM;M;16;7
DM;F;35;37
DM;F;37;36
DM;F;36;38
DM;F;37;37
RM;M;17;10
RM;F;17;8
RM;F;17;7
OT;F;20;21
DM;M;37;46
OT;M;21;20
DM;F;37;41
DM;F;36;42
DS;F;52;113
PM;F;21;27
RM;M;17;9
DS;F;49;107
OL;F;21;28
DM;F;36;41
DS;F;51;116
DS;M;52;144
DM;M;37;42
DS;M;49;124
DS;M;53;141
DM;F;37;37
DM;F;38;39
DS;M;50;140
DM;F;37;37
RM;M;16;10
DO;M;36;49
RM;M;17;10
DM;F;37;40
RM;F;16;7
RM;M;17;8
DO;F;36;48
DM;M;37;49
DS;M;51;132
RM;M;17;10
DM;M;37;40
DO;F;37;49
DM;M;36;43
NL;F;34;164
DM;M;38;53
DS;M;51;122
OL;F;21;30
DM;F;36;34
DS;M;50;124
RM;F;17;7
RM;M;17;8
OL;M;22;33
DM;M;36;45
DS;F;52;116
DM;M;37;43
NL;M;33;259
NL;M;36;241
DM;M;38;48
DO;F;37;40
DM;F;37;46
DS;F;51;96
DO;M;36;53
RM;F;16;8
DM;F;37;40
OL;M;22;34
RM;M;16;7
DM;M;37;41
DM;F;38;39
DS;F;52;120
DM;F;36;33
DO;M;37;46
DM;F;36;37
DO;F;37;46
DO;M;37;44
DM;F;36;41
DM;F;36;33
DM;M;37;47
DO;M;36;51
DM;F;37;45
DM;F;36;37
DS;F;49;100
DM;F;37;38
DO;M;37;52
RM;F;16;8
DM;F;37;36
DS;M;53;135
OL;M;21;32
DM;M;37;38
DM;F;37;36
OL;F;22;33
DM;M;35;37
DS;F;52;122
DM;F;36;33
DM;F;36;37
OL;M;22;43
DS;F;51;118
DM;F;36;38
RM;M;16;11
PM;M;20;19
OT;F;21;23
DM;F;36;44
DM;F;36;40
DM;F;36;40
DO;M;36;54
DS;F;52;136
RM;F;16;11
DM;M;37;52
RM;M;17;12
DS;M;49;133
DM;F;37;46
DM;M;35;47
DS;M;51;131
DO;F;36;51
DS;F;50;128
DO;M;36;54
DS;M;49;126
PM;F;20;24
DM;F;36;41
DM;F;36;41
DM;M;36;44
DM;M;36;44
DM;F;37;47
DO;M;35;48
DM;F;36;36
DS;M;51;141
DM;M;37;51
DS;M;51;138
DM;M;37;39
OL;M;22;42
OL;F;21;34
DM;M;37;50
DM;M;36;46
DM;M;36;43
DS;F;51;125
DS;F;48;115
DM;F;36;38
DM;F;36;43
DO;F;36;52
DM;F;35;38
DM;M;37;52
NL;M;32;182
DS;M;52;138
DS;M;51;128
DO;F;35;52
PP;F;22;14
PP;F;21;11
DM;M;36;42
DO;M;36;56
DM;F;37;46
DM;M;36;40
OL;M;21;41
DM;M;36;44
DO;F;35;48
DM;F;37;40
DS;M;51;136
DS;F;47;101
OL;M;22;41
DS;F;50;136
NL;F;31;122
DM;M;37;47
DS;M;51;128
OT;F;21;33
PM;F;20;24
DM;F;37;51
RM;F;16;14
PM;M;21;21
DS;M;50;130
NL;F;33;205
DM;F;36;58
DS;F;48;121
PF;M;16;7
DO;F;36;46
NL;M;26;58
DO;M;36;48
DM;M;36;44
DS;F;51;130
DM;F;37;49
DM;M;36;45
RM;M;16;9
DS;F;48;114
DS;M;50;134
NL;F;31;95
DS;M;52;138
RM;M;16;11
DS;F;50;115
DM;F;36;44
DM;F;36;42
PF;F;16;8
DS;M;52;135
DM;M;37;40
DM;F;36;42
PP;F;23;14
DS;M;51;127
DO;M;35;56
NL;M;33;217
DM;M;37;47
DM;F;36;42
OT;F;22;31
NL;M;34;250
PM;M;21;17
DM;M;35;41
DM;M;36;42
DM;M;37;51
DS;F;49;109
DO;F;35;63
OL;M;21;42
DM;M;36;43
DO;F;35;52
PP;F;21;13
PP;F;22;15
OT;M;21;22
OL;F;20;39
PP;M;24;17
DS;M;52;128
NL;F;32;157
DS;F;50;125
DM;F;36;41
DM;M;37;43
PE;M;20;16
DM;F;36;49
OL;F;21;36
DO;M;37;53
DM;M;38;51
PF;M;14;7
DM;F;35;48
DM;F;35;47
DM;F;37;47
DS;M;50;132
DM;F;36;43
DM;M;34;48
DM;M;34;46
DS;M;52;130
PE;M;19;17
OT;F;21;25
DO;M;37;51
DM;F;37;52
NL;F;32;104
DS;F;51;119
DO;F;36;59
DM;F;38;46
DO;M;34;38
DM;F;37;50
DM;F;35;41
DO;F;35;45
DM;F;36;42
DM;M;35;40
DM;M;34;39
DM;M;34;41
DM;F;36;54
PE;F;19;26
DM;M;34;44
OT;F;19;26
RM;M;16;11
DM;F;36;36
DM;M;33;38
DM;F;36;40
DM;M;36;47
DM;M;36;44
OL;F;22;38
NL;M;32;120
DS;F;47;110
PE;M;18;11
DM;F;36;38
DO;F;34;40
DM;F;37;47
DM;F;37;45
DM;F;34;41
DM;M;26;33
DO;M;36;54
OT;M;19;17
DO;M;37;59
DO;M;35;51
DM;F;33;26
DM;M;36;49
PE;M;20;13
PP;M;19;13
DM;M;34;41
DS;F;49;126
DM;M;38;49
OL;F;21;38
DO;M;33;28
DM;M;36;51
DO;M;37;56
DM;M;36;41
DM;M;36;48
DM;F;35;47
NL;M;33;220
DM;M;36;49
DM;F;34;49
PM;M;21;17
DM;M;37;44
OL;M;18;20
DM;F;36;46
DM;F;34;38
DO;F;37;67
DM;F;36;43
NL;M;32;125
DM;F;36;44
DM;M;37;47
DM;M;36;27
DS;F;53;122
OL;F;20;42
DM;F;35;63
RM;F;17;9
DM;F;36;47
DO;F;35;25
DO;F;35;60
DS;F;51;123
OL;F;20;33
DM;M;37;44
OL;M;20;43
DS;M;49;133
DO;F;37;51
DM;M;36;46
DM;M;32;25
DO;F;36;50
PP;M;22;16
RM;M;17;11
PM;F;21;17
DM;M;35;45
DO;F;35;54
RM;F;16;14
DM;M;37;47
DM;F;34;45
DM;F;35;39
DO;M;35;51
DO;M;37;56
DS;M;51;133
DM;F;34;40
DM;M;37;47
DS;M;51;126
DM;M;36;52
DM;F;35;48
DM;F;37;51
DO;F;34;56
DS;F;49;120
DM;F;35;46
DO;F;36;56
DM;M;35;45
DM;F;33;23
